"State","AsianTotal","AsianPerc"
"Hawaii","802551","0.5726"
"California","6551732","0.1652"
"New Jersey","923811","0.1041"
"Washington","812035","0.1029"
"New York","1839680","0.0957"
"Nevada","305500","0.0943"
"Alaska","61128","0.0848"
"Virginia","664348","0.0769"
"Massachusetts","516599","0.0746"
"Maryland","449579","0.0740"
"Illinois","808038","0.0645"
"Oregon","246789","0.0571"
"Minnesota","316790","0.0552"
"Connecticut","191505","0.0540"
"Texas","1565746","0.0520"
"Georgia","488952","0.0447"
"Delaware","43398","0.0435"
"Rhode Island","44653","0.0420"
"Colorado","243556","0.0409"
"Arizona","310727","0.0407"
"Pennsylvania","512310","0.0400"
"Michigan","377181","0.0377"
"Kansas","105946","0.0363"
"New Hampshire","46317","0.0336"
"Florida","734880","0.0331"
"Wisconsin","194286","0.0331"
"North Carolina","355907","0.0329"
"Utah","107058","0.0318"
"Nebraska","58983","0.0301"
"Iowa","92564","0.0292"
"Oklahoma","112607","0.0281"
"Ohio","326348","0.0278"
"Indiana","186237","0.0272"
"Missouri","155191","0.0251"
"Vermont","14503","0.0233"
"New Mexico","48809","0.0231"
"Idaho","40745","0.0215"
"Tennessee","148955","0.0213"
"Louisiana","98019","0.0212"
"North Dakota","15471","0.0200"
"South Carolina","103491","0.0194"
"Arkansas","57895","0.0190"
"Kentucky","83733","0.0187"
"South Dakota","15897","0.0176"
"Alabama","86490","0.0175"
"Maine","22658","0.0167"
"Wyoming","8996","0.0155"
"Montana","14690","0.0134"
"Mississippi","38321","0.0129"
"West Virginia","19794","0.0113"